school,group,case,treatment,session,session_trt,outcome,session_c
school 4,School 4  Group 4,student 11,treatment,21,7,116,0
school 4,School 4  Group 4,student 11,treatment,25,11,111,4
school 4,School 4  Group 4,student 11,treatment,30,16,91,9
school 4,School 4  Group 4,student 11,treatment,35,21,100,14
school 4,School 4  Group 4,student 11,treatment,39,25,94,18
school 4,School 4  Group 4,student 11,treatment,44,30,119,23
school 4,School 4  Group 4,student 11,treatment,49,35,133,28
school 4,School 4  Group 4,student 11,treatment,54,40,126,33
school 4,School 4  Group 4,student 11,treatment,59,45,132,38
school 5,School 5  Group 1,student 1,baseline,2,0,65,-19
school 5,School 5  Group 1,student 1,baseline,8,0,55,-13
school 5,School 5  Group 1,student 1,baseline,9,0,73,-12
school 5,School 5  Group 1,student 1,baseline,11,0,87,-10
school 5,School 5  Group 1,student 1,baseline,12,0,95,-9
school 5,School 5  Group 1,student 1,baseline,14,0,77,-7
school 5,School 5  Group 1,student 1,baseline,16,0,70,-5
school 5,School 5  Group 1,student 1,baseline,17,0,73,-4
school 5,School 5  Group 1,student 1,treatment,21,4,65,0
school 5,School 5  Group 1,student 1,treatment,25,8,91,4
school 5,School 5  Group 1,student 1,treatment,30,13,87,9
school 5,School 5  Group 1,student 1,treatment,35,18,79,14
school 5,School 5  Group 1,student 1,treatment,39,22,104,18
school 5,School 5  Group 1,student 1,treatment,44,27,73,23
school 5,School 5  Group 1,student 1,treatment,49,32,116,28
school 5,School 5  Group 1,student 1,treatment,54,37,114,33
school 5,School 5  Group 1,student 1,treatment,59,42,125,38
school 5,School 5  Group 1,student 2,baseline,2,0,79,-19
school 5,School 5  Group 1,student 2,baseline,4,0,61,-17
school 5,School 5  Group 1,student 2,baseline,6,0,96,-15
school 5,School 5  Group 1,student 2,baseline,8,0,95,-13
school 5,School 5  Group 1,student 2,baseline,9,0,108,-12
school 5,School 5  Group 1,student 2,baseline,11,0,97,-10
school 5,School 5  Group 1,student 2,baseline,12,0,100,-9
school 5,School 5  Group 1,student 2,baseline,14,0,114,-7
school 5,School 5  Group 1,student 2,baseline,17,0,120,-4
school 5,School 5  Group 1,student 2,treatment,21,4,114,0
school 5,School 5  Group 1,student 2,treatment,25,8,114,4
school 5,School 5  Group 1,student 2,treatment,30,13,109,9
school 5,School 5  Group 1,student 2,treatment,35,18,121,14
school 5,School 5  Group 1,student 2,treatment,39,22,128,18
school 5,School 5  Group 1,student 2,treatment,44,27,132,23
school 5,School 5  Group 1,student 2,treatment,49,32,136,28
school 5,School 5  Group 1,student 2,treatment,54,37,129,33
school 5,School 5  Group 1,student 2,treatment,59,42,138,38
school 5,School 5  Group 1,student 3,baseline,2,0,97,-19
school 5,School 5  Group 1,student 3,baseline,4,0,93,-17
school 5,School 5  Group 1,student 3,baseline,6,0,95,-15
school 5,School 5  Group 1,student 3,baseline,8,0,97,-13
school 5,School 5  Group 1,student 3,baseline,9,0,109,-12
school 5,School 5  Group 1,student 3,baseline,11,0,115,-10
school 5,School 5  Group 1,student 3,baseline,12,0,115,-9
school 5,School 5  Group 1,student 3,baseline,14,0,107,-7
school 5,School 5  Group 1,student 3,baseline,16,0,105,-5
school 5,School 5  Group 1,student 3,baseline,17,0,119,-4
school 5,School 5  Group 1,student 3,treatment,21,4,124,0
school 5,School 5  Group 1,student 3,treatment,25,8,114,4
school 5,School 5  Group 1,student 3,treatment,30,13,120,9
school 5,School 5  Group 1,student 3,treatment,35,18,121,14
school 5,School 5  Group 1,student 3,treatment,39,22,137,18
school 5,School 5  Group 1,student 3,treatment,44,27,124,23
school 5,School 5  Group 1,student 3,treatment,49,32,135,28
school 5,School 5  Group 1,student 3,treatment,54,37,137,33
school 5,School 5  Group 1,student 3,treatment,59,42,130,38
